Sanity checks (N: expected (s,r) → got (s,r)):
  N=3: expected (2, 5) → got (2, 5) ✅
  N=5: expected (1, 3) → got (1, 4) ❌
  N=7: expected (5, 11) → got (5, 11) ✅
  N=27: expected (41, 70) → got (41, 70) ✅
Verifying N = 2 to 1,000,000,000
Progress (every 500,000 pairs):

  N=  36,000,000  |  same-T: 18,204,814  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  36,500,000  |  same-T: 18,460,767  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  37,000,000  |  same-T: 18,715,839  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  37,500,000  |  same-T: 18,972,768  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  38,000,000  |  same-T: 19,229,861  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  38,500,000  |  same-T: 19,486,227  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  39,000,000  |  same-T: 19,742,414  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  39,500,000  |  same-T: 19,997,907  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  40,000,000  |  same-T: 20,257,033  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  40,500,000  |  same-T: 20,513,051  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  41,000,000  |  same-T: 20,768,838  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  41,500,000  |  same-T: 21,024,831  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  42,000,000  |  same-T: 21,281,048  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  42,500,000  |  same-T: 21,539,791  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  43,000,000  |  same-T: 21,795,750  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  43,500,000  |  same-T: 22,052,932  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  44,000,000  |  same-T: 22,306,850  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  44,500,000  |  same-T: 22,564,431  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  45,000,000  |  same-T: 22,823,800  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  45,500,000  |  same-T: 23,080,831  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  46,000,000  |  same-T: 23,337,508  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  46,500,000  |  same-T: 23,593,501  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  47,000,000  |  same-T: 23,849,322  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  47,500,000  |  same-T: 24,108,321  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  48,000,000  |  same-T: 24,365,277  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  48,500,000  |  same-T: 24,622,245  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  49,000,000  |  same-T: 24,879,226  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
