N,Same-T
364500000,189664732
365000000,189927807
365500000,190186524
366000000,190452559
366500000,190723561
367000000,190986108
367500000,191247704
368000000,191509539
368500000,191771522
369000000,192031555
369500000,192290799
370000000,192553077
370500000,192812347
371000000,193075916
371500000,193343071
372000000,193611248
372500000,193874616
373000000,194136124
373500000,194401532
374000000,194666313
374500000,194924395
375000000,195187756
375500000,195452551
376000000,195718077
376500000,195986550
377000000,196255818
377500000,196517273
378000000,196778940
378500000,197039919
379000000,197307520
379500000,197568203
380000000,197831072
380500000,198095674
381000000,198357595
381500000,198625333
382000000,198890622
382500000,199152331
383000000,199413470
383500000,199673936
384000000,199935376
384500000,200198877
385000000,200457794
385500000,200723684
386000000,200992316
386500000,201255054
387000000,201516314
387500000,201777683
388000000,202040423
388500000,202300652
389000000,202557915
389500000,202823158
390000000,203083176
390500000,203343602
391000000,203611206
391500000,203877000
392000000,204142397
392500000,204405894
393000000,204667893
393500000,204932216
394000000,205194275
394500000,205452745
395000000,205715433
395500000,205979754
396000000,206241549
396500000,206510803
397000000,206778640
397500000,207043703
398000000,207306357
398500000,207569538
399000000,207832941
399500000,208100179
400000000,208361325
400500000,208623503
401000000,208888288
401500000,209152452
402000000,209422411
402500000,209687112
403000000,209948573
403500000,210209790
404000000,210469950
404500000,210731014
405000000,210996780
405500000,211256771
406000000,211521043
406500000,211790238
407000000,212051222
407500000,212313029
408000000,212575680
408500000,212837288
409000000,213098260
409500000,213361268
410000000,213617888
410500000,213884657
411000000,214143549
411500000,214408351
412000000,214678266
412500000,214943227
413000000,215207261
413500000,215470392
414000000,215731187
414500000,215995120
415000000,216256509
415500000,216513410
416000000,216778101
416500000,217039686
417000000,217299332
417500000,217568374
418000000,217833447
418500000,218101947
419000000,218365023
419500000,218626147
420000000,218892930
420500000,219155940
421000000,219419548
421500000,219680404
422000000,219943187
422500000,220208928
423000000,220476019
423500000,220746001
424000000,221012807
424500000,221276305
425000000,221537987
425500000,221799503
426000000,222061457
426500000,222328707
427000000,222587701
427500000,222852011
428000000,223117168
428500000,223381434
429000000,223646991
429500000,223910642
430000000,224176301
430500000,224437936
431000000,224697497
431500000,224959017
432000000,225220976
432500000,225485014
433000000,225743790
433500000,226010201
434000000,226281258
434500000,226545445
435000000,226807752
435500000,227068948
436000000,227330144
436500000,227594733
437000000,227854064
437500000,228112223
438000000,228376983
438500000,228638024
439000000,228898580
439500000,229159727
440000000,229429550
440500000,229696752
441000000,229962236
441500000,230225528
442000000,230486105
442500000,230753145
443000000,231015059
443500000,231276088
444000000,231537802
444500000,231799895
445000000,232066000
445500000,232329866
446000000,232601595
446500000,232868458
447000000,233135733
447500000,233400298
448000000,233659757
448500000,233922132
449000000,234186672
449500000,234453650
450000000,234715388
450500000,234978118
451000000,235244490
451500000,235506085
452000000,235776538
452500000,236040887
453000000,236306355
453500000,236567333
454000000,236827421
454500000,237088777
455000000,237349700
455500000,237615551
456000000,237875553
456500000,238139253
457000000,238405264
457500000,238673134
458000000,238935871
458500000,239197356
459000000,239459841
459500000,239721337
460000000,239984265
460500000,240245946
461000000,240503000
461500000,240769513
462000000,241030814
462500000,241289621
463000000,241553134
463500000,241824149
464000000,242090004
464500000,242355803
465000000,242619357
465500000,242879982
466000000,243145007
466500000,243407761
467000000,243670021
467500000,243927564
468000000,244192910
468500000,244454937
469000000,244715661
469500000,244981922
470000000,245250672
470500000,245520558
471000000,245786551
471500000,246050338
472000000,246311235
